Method,Top_K,RRF_K,Model,Recall,NDCG,MRR,Time_Taken_Sec,Time_Dense,Time_Sparse,Time_RRF,Time_Colbert,Time_CrossEncoder
default,80,80,cross_encoder,0.6597,0.5647,0.5373,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,100,dense,0.6306,0.427,0.3706,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,100,sparse,0.6286,0.423,0.3669,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,100,rrf,0.6597,0.4549,0.397,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,100,colbert,0.6597,0.5065,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,100,cross_encoder,0.6597,0.5647,0.5373,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,150,dense,0.6306,0.427,0.3706,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,150,sparse,0.6286,0.423,0.3669,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,150,rrf,0.6597,0.4546,0.3966,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,150,colbert,0.6597,0.5065,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,150,cross_encoder,0.6597,0.5647,0.5373,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,300,dense,0.6306,0.427,0.3706,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,300,sparse,0.6286,0.423,0.3669,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,300,rrf,0.6597,0.4549,0.3971,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,300,colbert,0.6597,0.5065,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,80,300,cross_encoder,0.6597,0.5647,0.5373,1530.46,9.32,111.95,0.26,678.18,560.42
with_titles,10,10,dense,0.5295,0.4126,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,10,sparse,0.5225,0.4078,0.3711,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,10,rrf,0.5696,0.4455,0.4054,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,10,colbert,0.5996,0.4995,0.4671,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,10,cross_encoder,0.6216,0.5601,0.5403,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,20,dense,0.5295,0.4126,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,20,sparse,0.5225,0.4078,0.3711,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,20,rrf,0.5696,0.4463,0.4065,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,20,colbert,0.5996,0.4995,0.4671,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,20,cross_encoder,0.6216,0.5601,0.5403,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,60,dense,0.5295,0.4126,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,60,sparse,0.5225,0.4078,0.3711,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,60,rrf,0.5696,0.4462,0.4064,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,60,colbert,0.5996,0.4995,0.4671,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,60,cross_encoder,0.6216,0.5601,0.5403,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,80,dense,0.5295,0.4126,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,80,sparse,0.5225,0.4078,0.3711,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,80,rrf,0.5696,0.4462,0.4064,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,80,colbert,0.5996,0.4995,0.4671,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,80,cross_encoder,0.6216,0.5601,0.5403,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,100,dense,0.5295,0.4126,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,100,sparse,0.5225,0.4078,0.3711,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,100,rrf,0.5696,0.4462,0.4064,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,100,colbert,0.5996,0.4995,0.4671,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,100,cross_encoder,0.6216,0.5601,0.5403,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,150,dense,0.5295,0.4126,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,150,sparse,0.5225,0.4078,0.3711,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,150,rrf,0.5696,0.4462,0.4064,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,150,colbert,0.5996,0.4995,0.4671,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,150,cross_encoder,0.6216,0.5601,0.5403,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,300,dense,0.5295,0.4126,0.3753,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,300,sparse,0.5225,0.4078,0.3711,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,300,rrf,0.5696,0.4462,0.4064,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,300,colbert,0.5996,0.4995,0.4671,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,10,300,cross_encoder,0.6216,0.5601,0.5403,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,10,dense,0.5876,0.4266,0.3789,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,10,sparse,0.5846,0.4225,0.3747,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,10,rrf,0.6226,0.4615,0.4131,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,10,colbert,0.6376,0.5087,0.4694,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,10,cross_encoder,0.6507,0.5669,0.5419,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,20,dense,0.5876,0.4266,0.3789,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,20,sparse,0.5846,0.4225,0.3747,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,20,rrf,0.6226,0.4607,0.4123,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,20,colbert,0.6376,0.5087,0.4694,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,20,cross_encoder,0.6507,0.5669,0.5419,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,60,dense,0.5876,0.4266,0.3789,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,60,sparse,0.5846,0.4225,0.3747,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,60,rrf,0.6226,0.4606,0.4123,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,60,colbert,0.6376,0.5087,0.4694,1365.39,5.64,77.3,0.23,613.18,557.42
with_titles,30,60,cross_encoder,0.6507,0.5669,0.5419,1365.39,5.64,77.3,0.23,613.18,557.42
